/usr/local/Cellar/python/2.7.12/Frameworks/Python.framework/Versions/2.7/bin/python2.7 /Users/seanstappas1/PycharmProjects/qbert-reinforcement-learning/main.py
06-11-2017:19:04:16,571 INFO     [main.py:play_learning_agent:24] Plot filename: seed598
06-11-2017:19:04:16,572 INFO     [main.py:play_learning_agent:25] Agent type: subsumption
06-11-2017:19:04:16,572 INFO     [main.py:play_learning_agent:26] Distance metric: None
06-11-2017:19:04:16,572 INFO     [main.py:play_learning_agent:27] Exploration: combined
A.L.E: Arcade Learning Environment (version 0.5.1)
[Powered by Stella]
Use -help for help screen.
Warning: couldn't load settings file: ./ale.cfg
Game console created:
  ROM file:  qbert.bin
  Cart Name: Q-bert (1988) (Atari) [!]
  Cart MD5:  484b0076816a104875e00467d431c2d2
  Display Format:  AUTO-DETECT ==> NTSC
  ROM Size:        4096
  Bankswitch Type: AUTO-DETECT ==> 4K


WARNING: Possibly unsupported ROM: mismatched MD5.
Cartridge_MD5: 484b0076816a104875e00467d431c2d2
Cartridge_name: Q-bert (1988) (Atari) [!]

Running ROM file...
Random seed is 459
06-11-2017:19:12:28,85 INFO     [world.py:perform_action:668] Level won! Progressing to level 5
06-11-2017:19:12:29,426 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:12:31,446 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:12:32,418 INFO     [main.py:play_learning_agent:44] Episode 43 ended with score: 20975
06-11-2017:19:12:33,306 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:12:34,860 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:12:38,502 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:12:40,416 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:12:42,404 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:12:42,608 INFO     [world.py:perform_action:668] Level won! Progressing to level 3
06-11-2017:19:12:44,177 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:12:48,296 INFO     [world.py:perform_action:668] Level won! Progressing to level 4
06-11-2017:19:12:50,230 INFO     [world.py:perform_action:647] Killed Coily!
